id,Answer
0,"A,B,C"
1,"A,B,C"
2,"A,B"
3,"A,B,C,D"
4,B
5,"A,B,C"
6,"A,B,D"
7,"A,B"
8,"A,B"
9,"A,B"
10,"A,D"
11,"A,B"
12,"B,C"
13,"A,B,C,D"
14,"A,C,E"
15,"A,B"
16,"C,A"
17,"A,B,C"
18,"A,B"
19,"A,B,C"
20,"A,B,C"
21,"A,B,D,E"
22,"A,B,C"
23,"A,B"
24,"A,B,D"
25,"A,B,D"
26,"A,B,C,D,E"
27,"A,B"
28,"A,B"
29,"A,C"
30,"B,C,D,E"
31,"A,B"
32,"A,B,C"
33,"A,B"
34,"C,D"
35,"A,B"
36,"A,B,C"
37,"A,B,C,D,E"
38,"A,B,C"
39,"A,B,D,E"
40,"B,C"
41,"B,C"
42,"A,B,E"
43,"A,B"
44,"A,B,C,D,E"
45,"B,C"
46,"A,B,D"
47,"A,B"
48,"C,A"
49,B
50,"A,B,E"
51,"A,B,C"
52,B
53,"A,B,C,D"
54,"A,B,C,D,E"
55,"D,A"
56,B
57,"A,B"
58,"A,B"
59,"A,B,C"
60,"A,B,C"
61,"A,B,C"
62,"A,B,C"
63,"A,B,E"
64,"A,B"
65,"A,B"
66,B
67,"B,D"
68,"A,B,C"
69,"A,C"
70,"A,B,D"
71,"A,B"
72,"A,B"
73,"A,B"
74,"B,E"
75,"A,D"
76,"A,B"
77,"A,B,C,D,E"
78,"B,E"
79,"C,A"
80,"A,B,D"
81,"A,B,D"
82,"A,B,D"
83,"C,E"
84,"A,B,C"
85,"A,B"
86,"A,B"
87,"A,B,C"
88,"C,A"
89,"A,D"
90,"A,B,D"
91,"A,D"
92,"A,C"
93,"A,B,C"
94,"A,B,D"
95,"A,B,C,E"
96,"A,B,C"
97,"A,B,D"
98,"A,B,D"
99,"A,B"
100,"B,D"
101,"B,C"
102,"A,C"
