id,Answer
0,"B,D,E"
1,"B"
2,"D"
3,"D"
4,
5,"C"
6,"A,C,D"
7,
8,"D"
9,"B"
10,"C"
11,
12,
13,A
14,A
15,A
16,"A,B,C,E"
17,A
18,A
19,E
20,A
21,"A,B,C,E"
22,"A,B,C,E"
23,"A,B,C,E"
24,A
25,A
26,A
27,"A,B,C,E"
28,E
29,E
30,B
31,C
32,"A,B,C,E"
33,"A,B,C,E"
34,E
35,A
36,E
37,A
38,A
39,A
40,A
41,A
42,"A,B,C,E"
43,A
44,"A,B,C,E"
45,A
46,E
47,"A,B,C,E"
48,A
49,"A,B,C,E"
50,"A,B,C,E"
51,A
52,C
53,A
54,E
55,A
56,"A,B,C,E"
57,"A,B,C,E"
58,A
59,A
60,B
61,A
62,E
63,A
64,"A,B,C,E"
65,A
66,"A,B,C,E"
67,A
68,"A,B,C,E"
69,"A,B,C,E"
70,E
71,"A,B,C,E"
72,"A,B,C,E"
73,A
74,E
75,"A,B,C,E"
76,"A,B,C,E"
77,"A,B,C,E"
78,E
79,E
80,"A,B,C,E"
81,"A,B,C,E"
82,"A,B,C,E"
83,"A,B,C,E"
84,"A,B,D,E"
85,A
86,E
87,A
88,"A,B,C,E"
89,A
90,"A,B,C,E"
91,A
92,"A,B,C,E"
93,"A,C,E"
94,"A,B,C,E"
95,"A,B,C,E"
96,"A,B,C,E"
97,"A,B,C,E"
98,A
99,A
100,A
101,"A,B,C,E"
102,A
