question,answer_A,answer_B,answer_C,answer_D,answer_E,correct_answers,subject_name
"Parmi les affirmations suivantes, une seule est fausse, indiquer laquelle: les particules alpha",Sont formées de noyaux d'hélium,Sont peu pénétrantes,Toute l'énergie qu'elles transportent est cédée au long d'un parcours de quelques centimètres dans l'air,Sont arrêtées par une feuille de papier,Sont peu ionisantes,E,pharmacie
"Parmi les bactéries suivantes, une seule ne peut généralement pas être responsable d'une méningite aiguë, laquelle?",Haemophilus influenzae,Streptococcus pneumoniae,Neisseria gonorrhoeae,Neisseria meningitidis,Mycobacterium tuberculosis,C,pharmacie
"Parmi les propositions suivantes, indiquer celle qui est exacte. Le crack est une forme:",D'héroine,De cannabis,De cocaïne,D'amphétamines,De LSD (Amide de l'acide lysergique),C,pharmacie
"Parmi les propositions suivantes, une seule est exacte. Laquelle? La sérotonine est le (la) :",5-hydroxy tryptophane,5-hydroxy tryptamine,Dihydroxy phénylalanine,Dihydroxy tryptophane,"5,6-dihydroxytryptamine",B,pharmacie
"Parmi les techniques voltampérométriques, on trouve:",La potentiométrie,La polarographie,La conductimétrie,l'ampérométrie,La coulométrie,B,pharmacie
"Concernant le misoprostol (CYTOTEC®), donner son mécanisme d'action:",Anti-histaminique H2,Activateur de la pompe à protons,Analogue des prostaglandines,Neutralisation de l'acidité gastrique,Stimulation de la synthèse des prostaglandines endogènes gastriques,C,pharmacie
Quelle est la proposition qui ne s'applique pas à la norfloxacine ?,Elle agit au niveau des ADN-gyrases des bactéries,Elle est administrable par voie orale,Elle est utilisable pour le traitement des broncho-pneumopathies à bactérie sensible,Elle peut être active à l'égard des staphylocoques sensibles à la méticilline,Elle est essentiellement éliminée par voie urinaire,C,pharmacie
"Parmi les propositions suivantes concernant la fluorimétrie, une seule proposition est fausse. Laquelle?",La longueur d'onde du maximum de fluorescence est plus élevée que la longueur d'onde du maximum d'absorption,"Pour fluorescer, les molécules doivent absorber dans l'UV/visible",La fluorescence a pour origine l'existence d'électrons excités singulet,La fluorescence est un phénomène dont la durée est de l'ordre de la seconde,La fluorescence s'observe dans des molécules à squelette rigide,D,pharmacie
La sécrétion de progestérone pendant les 2e et 3e trimestres de la grossesse reflète l'état fonctionnel:,Du placenta,Du corps jaune,Du foie foetal,De la surrénale foetale,De l'ovaire maternel,A,pharmacie
"Parmi les propositions suivantes, une seule est exacte; laquelle? L'hormone thyroïdienne la plus active au niveau cellulaire est:",La triiodothyronine (T3),La tétraiodothyronine (T4),"La 3,3',5'- triiodothyronine (rT3)",La thyroglobuline,L'acide triiodothyroacétique,A,pharmacie
