question,answer_A,answer_B,answer_C,answer_D,answer_E,correct_answers,subject_name
"Among the following statements, only one is false, indicate which: alpha particles",Are made of helium nuclei,Are not very penetrating,All the energy they carry is released along a path of a few centimeters in the air.,Are stopped by a sheet of paper,Are poorly ionizing,E,pharmacy
Which of the following bacteria cannot usually cause acute meningitis?,Haemophilus influenzae,Streptococcus pneumoniae,Neisseria gonorrhoeae,Neisseria meningitis,Mycobacterium tuberculosis,C,pharmacy
"Among the following statements, indicate which one is correct. Crack is a form:",Of heroin,Cannabis,Of cocaine,Amphetamines,LSD (Lysergic acid amide),C,pharmacy
"Of the following propositions, only one is correct. Which? Serotonin is:",5-hydroxy tryptophane,5-hydroxy tryptamine,Dihydroxy phenylalanine,Dihydroxy tryptophane,"5,6-dihydroxytryptamine",B,pharmacy
Voltammetric techniques include:,Potentiometry,Polarography,Conductivity,l'ampérométrie,Coulometry,B,pharmacy
"Concerning misoprostol (CYTOTEC®), give its mechanism of action:",Anti-histaminique H2,Proton pump activator,Prostaglandin analogue,Neutralization of stomach acid,Stimulation of the synthesis of endogenous gastric prostaglandins,C,pharmacy
Which statement does not apply to norfloxacin?,It acts at the level of bacterial DNA gyrases,It can be administered orally,It can be used for the treatment of bronchopneumonitis caused by sensitive bacteria.,It may be active against staphylococci sensitive to methicillin,It is mainly eliminated through the urine.,C,pharmacy
"Among the following statements regarding fluorimetry, only one statement is false. Which?",The wavelength of the fluorescence maximum is longer than the wavelength of the absorption maximum,"To fluoresce, molecules must absorb in the UV/visible",Fluorescence originates from the existence of excited singlet electrons,Fluorescence is a phenomenon whose duration is of the order of a second,Fluorescence is observed in molecules with a rigid skeleton,D,pharmacy
Progesterone secretion during the 2nd and 3rd trimesters of pregnancy reflects the functional state:,From the placenta,Of the corpus luteum,You foie fetal,From the fetal adrenal,From the maternal ovary,A,pharmacy
"Among the following propositions, only one is correct; which? The most active thyroid hormone at the cellular level is:",La triiodothyronine (T3),La tétraiodothyronine (T4),"La 3,3',5'- triiodothyronine (rT3)",La thyroglobuline,Triiodothyroacetic acid,A,pharmacy
Which of the following statements regarding the quality of an HPLC separation between two constituents of a mixture is correct? The quality of the separation is assessed by:,The response factor,The height of the peaks,The width of the peaks,The resolution factor,The capacity factor,D,pharmacy
"Among these five propositions, indicate the usual mode of contamination of humans in urinary bilharzia:",Venereal transmission,Bloodsucking insect bite,Ingestion of larvae with drinking water,Transcutaneous penetration,Bite by an infected animal,D,pharmacy
"Among the following statements, indicate the correct statement. Nitrogen mustards are:",Antimetabolites,Non-toxic to hematopoietic cells,Poisons of the spindle,Alkylators,Intercalators,D,pharmacy
"In flame photometry, the quality of nebulization is independent:",The density of the solution to be analyzed,From the temperature of the flame,The surface tension of the solution to be analyzed,The speed of the gases (fuel and oxidizer),The viscosity of the solution to be analyzed,B,pharmacy
"Among the following propositions, only one is false. Which? bromocriptine:",Is indicated in endocrinology,Is indicated in the treatment of Parkinson's disease,Causes digestive problems at the start of treatment,Has anticholinergic properties,Is a dopamine agonist,D,pharmacy
What is the incorrect proposition regarding changes in enzyme activities caused by benzene?,ALA synthetase inhibition,Inhibition of erythrocyte peroxidases,Induction of erythrocyte catalases,Inhibition of Cytochrome P 450-dependent monoxygenases which participate in benzene metabolism,Decreased leukocyte alkaline phosphatase,D,pharmacy
Hepatic “cytolysis” syndrome is characterized by:,An increase in the serum concentration of alanine amino transferase,A decrease in plasma protein concentration,A decrease in serum iron concentration,An increase in plasma alkaline phosphatase concentration,An increase in the plasma concentration of immunoglobulin A,A,pharmacy
Anal pruritus is the major symptom of:,L'anguillulose,L'ankylostomose,Pinworm,Bilharzia,le hadiasis,C,pharmacy
"Among the following statements, only one is false, indicate which one. Bile salts:",Are amphipathic,Are synthesized from cholesterol,Are synthesized by the hepatocyte,Undergo an enterohepatic cycle,Are essential for the intestinal absorption of water-soluble constituents,E,pharmacy
"Indicate, among the following characteristics, which one is common to all aregenerative anemias:",Hemoglobin level less than 80 g/L,Reticulocytopenia,Macrocytose,Normal sideremia,Low Cell Density Myelogram,B,pharmacy
Which of the following bacteria is a common cause of neonatal meningitis?,Clostridium tetani,Salmonella sérovar Typhimurium,Streptococcus agalactiae,Haemophilus influenzae,Vibrio cholerae,C,pharmacy
Which of the following applies to Mycobacterium tuberculosis?,It can be isolated on agar enriched with horse blood.,It develops in 72 hours on a suitable agar medium,It is not responsible for meningitis,It can be responsible for urinary infections,It is never sensitive to aminoglycosides,D,pharmacy
Among the following proposals regarding imipramine. which one is incorrect?,It is a tricyclic antidepressant,It inhibits neuronal reuptake of norepinephrine and serotonin,Its clinical effects appear within 24 to 48 hours,Its plasma half-life is 9 to 20 h,It has muscarinic anticholinergic properties.,C,pharmacy
"Of the following statements regarding diuretics, only one is false. Which?",Loop diuretics are generally sulphonamide derivatives.,Hydrochlorothiazide (ESIDREX) inhibits sodium reabsorption at the cortical dilution segment,Furosemide (LASILiX) is indicated for the treatment of acute pulmonary edema,Amiloride (MODAMIDE) is contraindicated in hyperkalemia,Spironolactone (ALDACTONE) is often combined with angiotensin converting enzyme inhibitors,E,pharmacy
Which of the following anti-ulcer drugs has cytochrome P450 inhibitory properties at therapeutic concentrations?,Nizatidine,Ranitidine,Cimetidine,Famotidine,Sucralfate,C,pharmacy
"Among the following parameters, cite the one which constitutes a marker of osteogenesis:",Urinary hydroxylysine glycosides,Urinary pyridinoline,Osteocalcin,Hydroxyproline,urinary calcium,C,pharmacy
