,id,question,answer_A,answer_B,answer_C,answer_D,answer_E
0,0,"In the case of a febrile roseoliform exanthema in children, the main etiologies are (one or more correct answers):",A sudden exanthema,Epidemic megalerythema,A rubella,Infectious mononucleosis,A kawasaki syndrome
1,1,"Regarding heart failure, what is (are) the true statement (s)?",Cardiac auscultation can reveal a burst of B2 in the aortic area in cases of pulmonary arterial hypertension.,Cardiac auscultation can reveal a murmur of mitral insufficiency linked to the dilation of the mitral annulus.,Jugular turgor is a peripheral sign of left heart failure,"Peripheral edema is soft, blue and painful",Crackles or subcrepitants are often bilateral
2,2,What is (are) the true answer(s) regarding the management of diffuse bronchiectasis in adults (outside a context of cystic fibrosis) responsible for repeated infectious episodes?,Daily bronchial drainage,Systemic corticosteroid therapy,Pulmonary lobectomy,Systematic quarterly antibiotic therapy course,Anti-inflammatory treatment with fluoroquinolone
3,3,A 58-year-old female patient comes to the emergency room of your hospital for expectorating two glasses of red blood while coughing. she had never coughed up blood. she is on anti-aggregating aspirin for coronary artery disease. her clinical examination is normal; his blood pressure is 132/79 mmhg. heart rate is 80/min. Chest x-ray does not show any abnormality. Give the correct answer(s),You hospitalize the patient,You put in place vascular filling,You prescribe an intravenous vasoconstrictor agent such as telipressin,You prescribe an injected chest CT scan with acquisition in the arterial phase after verification of the absence of contraindication,You reassure the patient and explain to her that it is normal to bleed while taking anti-aggregants
4,4,"A 55-year-old patient with hyperlymphocytosis at 25 g/l without cytopenia is referred to you with a diagnosis of chronic lymphocytic leukemia on lymphocyte immunophenotyping. On clinical examination, the patient is in excellent general condition and there is polyadenopathy of 1.5 to 2 cm in diameter in all lymph node areas. what examination is necessary at this stage? (only one answer)",None,Un tep-scanner,An echocardiogram,A myelogram,A bone scan
5,5,"A 25-year-old man consults you because of abdominal pain. the examination is normal apart from a palpable spleen at the end of inspiration. the blood count shows: leukocytes 14 g/l, pnn 8 g/l, myelocytes 1 g/l, metamyelocytes 1g/l, monocytes 1 g/l, lymphocytes 3 g/l, platelets 510 g/l. you suspect chronic myelogenous leukemia. What biological tests do you prescribe to confirm your diagnostic hypothesis? (one or more possible answers)",Leukocyte immunophenotyping on blood,Search for jolly bodies by smear,Searching for the bcr-abl transcript,Gumprecht's Shadow Search,Search for a jak2 mutation
6,6,Which of the following statements regarding weakening osteopathies is (are) correct?,Primary hyperparathyroidism preferentially affects cortical bone,Treatment of hypothyroidism increases the risk of osteoporotic fracture,Cortisone osteoporosis mainly affects the cortical bone,Estrogen deficiency is responsible for osteoclast hyperactivity,Bisphosphonate treatment increases osteoblast activity
7,7,"A 50-year-old woman arrives at the emergency room feeling unwell. she has no particular history but describes fatigue that quickly appeared. the clinical examination is normal apart from a conjunctival subcutaneous tissue. the blood count shows hemoglobin 90 g/l, red blood cells 2.7 t/l, hematocrit 27%, vgm 102 fl, ccmh 33 g/dl, leukocytes 8 g/l, polynuclear neutrophils 5 g/l, lymphocytes 2.3 g/l , monocytes 0.7 g/l. Which biological tests do you think are relevant to prescribe as first intention? (one or more possible answers)",C-reactive protein (crp),Serum iron,Serum protein electrophoresis,Reticulocytes,Ldh
8,8,Which of the following infectious agents is(are) responsible for blood culture negative endocarditis?,Mycobacterium tuberculosis,Bartonella,Streptococcus pyogenes,Coxiella burnetii,Tropheryma whipplei
9,9,Which of the following infectious diseases is(are) required to be declared in France?,Rubella,Fish,Tuberculosis,Legionnaires' disease,Pneumococcie invasive
10,10,"In a patient treated for 2 days for a proximal pulmonary embolism with unfractionated heparin, the tca ratio is 6 and the anti-xa activity is measured at peak activity at 1.2 iu/ml, in the absence of bleeding, whatever (s) measure(s) do you adopt immediately? (one or more possible answers)",Vitamin K intake,Infusion of concentrated platelet pellet,Perfusion de protamine,Discontinuation then dose adjustment,Introduction of avk
11,11,"A 62-year-old man with no medical history presents with a spontaneous deep hematoma of the psoas muscle. the nfs shows hemoglobin at 90 g/l and platelets at 170 g/l. its hemostasis assessment is as follows: tca ratio at 2.1, tp at 78% and fibrinogen at 3.1g/l. mixing the patient's plasma with normal plasma does not allow the TCA to be corrected (Rosner index at 28 for normal < 15). the dosage of endogenous pathway factors reveals a factor viii at 4%. what diagnostic hypothesis(s) do you retain? (one or more possible answers)",The presence of a lupus-type anticoagulant,Constitutional hemophilia,The presence of an anti-factor VIII antibody,Willebrand disease type 1,Acquired hemophilia b
12,12,"A patient is brought unconscious by the firefighters to the emergency room following a road accident. She presents with multiple trauma for which an emergency brain and thoraco-abdomino-pelvic scan are carried out. She presents with a fractured spleen which requires a surgical intervention. When she arrives, her husband tells you that she is approximately 8 weeks pregnant with amenorrhea.  the irradiation dose received is 10 mgy. what are the risk(s) linked to the accident and treatment?",Developmental delay,Brain malformation,Abortion,Stunted growth,Retroplacental hematoma
13,13,"A patient comes to your office for a preconception consultation. she is 32 years old, non-ligest. She has been followed for a year for well-controlled high blood pressure on perindopril, one tablet per day. She benefits from estrogen-progestin contraception which she plans to stop at the end of her pack. she weighs 81 kg for a height of 1m68. She consumes 5 cigarettes a day but would like to stop. What do you expect at the end of the consultation? (one or more correct answers)",Rubella serology,Help with smoking cessation using nicotine substitutes,Cervico-uterine smear if it is more than a year old,Prescription of folate at a dose of 5 mg/day,Stopping treatment with perindopril and switching to another antihypertensive
14,14,"A 28-year-old woman consults for palpation of a swelling in the upper outer quadrant of the right breast. she is worried because her mother and her maternal aunt had breast cancer at ages 55 and 60 respectively. On clinical examination, you feel a round and regular swelling of 15 mm, non-adherent on the deep and superficial planes. there is no inflammation or skin retraction nearby. no suspicious lymphadenopathy is palpated in the axillary and supraclavicular lymph node areas. What examination(s) should be requested as a first intention?",A breast ultrasound,A chest x-ray,A dosage of ca 15-3,A breast MRI,A mammogram
15,15,"A 38-year-old woman consults 3 months after her third birth for a request for contraception. she had a cesarean section even though her first two deliveries had taken place vaginally. she has just stopped breastfeeding her child because she has to return to her professional activity. in her history, she reports a uterine perforation during the insertion of an intrauterine device 7 years ago, phlebitis under plaster 10 years ago and cervical laser treatment 4 years ago for cervical dysplasia linked to a human papillomavirus infection. she does not smoke but “vapes” from time to time. the last cervico-uterine smear, taken at the start of pregnancy, was normal. What contraceptive method(s) is(are) possible for this woman?",Levonorgestrel intrauterine device,Copper intrauterine device,Transdermal patch releasing norelgestromin and ethinyl estradiol,Tubal sterilization by laparoscopy,Etonogestrel-releasing subcutaneous device
16,16,"Faced with a suspicion of a metallic intraocular foreign body, what emergency examination(s) do you suggest?",An orbital scanner,An MRI,An x-ray of the orbit,Fluorescein angiography,A measurement of intraocular pressure
17,17,What is(are) the correct proposal(s) regarding voluntary termination of pregnancy (IVG) in France?,A woman under guardianship can request an abortion,A woman can request complete anonymity for an abortion,Insertion of an IUD is contraindicated immediately following a surgical abortion,Prostaglandins cannot be used in hereditary porphyria,A psychosocial interview must systematically be carried out before carrying out the abortion
18,18,A chalazion:,Is an infection of a pilosebaceous follicle of the eyelids,Is a resorption granuloma of a meibomian gland of the eyelids,Treated with corticosteroid ointment,Treated with systemic antibiotics,May require surgical incision
19,19,What are the possible etiologies of a reduction in visual acuity associated with ocular redness (several correct answers)?,Acute glaucoma attack due to angle closure,Anterior uveitis,Occlusion of the central retinal artery,Neovascular glaucoma,Retinal vasculitis
20,20,In case of myopia (one or more correct answers):,The optical system formed by the eye is too convergent,Distance vision is better than near vision without correction,Light rays focus in front of the retina,A divergent lens can be used for correction,Risk of retinal detachment may be increased
21,21,"You are caring for an 83-year-old patient, well supported, on day two of a knee arthroplasty. the redon drains were removed without problem. She presents with an enlarged knee, very edematous and inflammatory. the scar is beautiful, non-inflammatory. what is(are) the correct proposition(s)?",Outpatient treatment is possible,The electrotherapy techniques practiced by the physiotherapist will aim to reduce edema,The English cane prescription could be made by the private physiotherapist after discharge from the hospital,Your physiotherapy prescription must mention the physiotherapy techniques to be used.,The adaptation of the home must be done after writing a file with the mdph (departmental center for disabled people)
22,22,"You are caring for a 32-year-old patient, a computer scientist, whose smoking is estimated at 15 packs/year, with no medical or surgical history, victim of a road accident responsible for a severe spinal cord injury by c5 cervical fracture osteosynthesised by an anterior route on April 30, 2018. weaning from mechanical ventilation having been difficult, he was tracheotomized on May 21, 2018 after orotracheal intubation. weaning was then carried out on May 29. When he arrived, he was eupneic. he presents with a pressure sore of the right trochanter, stage 4 with loss of substance down to the bone. the bottom of the pressure sore is fibrinous and the purulent secretions are very abundant without any inflammatory skin signs. what is (are) the correct proposition(s)?",Tracheal stenosis is a complication of prolonged orotracheal intubation,"For the treatment of this bedsore, you prefer a combination of local antiseptics and dry dressings.",The presence of this pressure sore indicates that the patient should be placed in a chair.,The lesion being at spinal level c6 you expect anesthesia from the lateral edge of the forearm in anatomical position,The request for long-term illness can be made by the attending physician
23,23,You prescribe a standard articulated knee orthosis to one of your patients with a knee sprain. check the correct prescription principle(s) for this type of medical device:,It is prescribed on a simple prescription,It is prescribed on a large equipment form,It is refunded 100% of its purchase price,It can be prescribed by all specialists,It can be prescribed by a physiotherapist
